data_long1,data_long2,data_long3,data_long4
0.667891644165443,0.7,1,dm4_R
0.61681095288745,0.7,2,dm4m_R
0.746764513405059,0.7,3,dm2_R
0.852137920470043,0.7,4,dm3_R
0.742621196411525,0.7,5,dldm_R
0.585851030586375,0.7,6,dm1_R
0.097890778844391,0,1,dm4_R
0.091423681003619,0,2,dm4m_R
0.067047853611976,0,3,dm2_R
0.075256843164308,0,4,dm3_R
0.063663919514789,0,5,dldm_R
0.151036463370927,0,6,dm1_R
0.214666143213287,0.4,1,dm4_R
0.159802130932699,0.4,2,dm4m_R
0.128385970175045,0.4,3,dm2_R
0.087911644608955,0.4,4,dm3_R
0.054459614799155,0.4,5,dldm_R
0.02967695823202,0.4,6,dm1_R
0.592625671894097,0.8,1,dm4_R
0.592016300068286,0.8,2,dm4m_R
0.648478860693372,0.8,3,dm2_R
0.782748065932415,0.8,4,dm3_R
0.769016370845769,0.8,5,dldm_R
0.538313361047238,0.8,6,dm1_R
0.330174559870539,0.8,1,dm4_R
0.340921281361486,0.8,2,dm4m_R
0.192172601791509,0.8,3,dm2_R
0.111352791402825,0.8,4,dm3_R
0.055725335354084,0.8,5,dldm_R
0.088161367748007,0.8,6,dm1_R
0.259765562923791,0.4,1,dm4_R
0.315316169739814,0.4,2,dm4m_R
0.188902582602579,0.4,3,dm2_R
0.080967439901896,0.4,4,dm3_R
0.118477437184481,0.4,5,dldm_R
0.10706895788413,0.4,6,dm1_R
0.038508524251664,0,1,dm4_R
0.006874000711995,0,2,dm4m_R
0.000235028095389,0,3,dm2_R
0.021445448976903,0,4,dm3_R
0.036680650906672,0,5,dldm_R
0.013723522063091,0,6,dm1_R
0.566332537195985,0.7,1,dm4_R
0.578842153379364,0.7,2,dm4m_R
0.617602616584497,0.7,3,dm2_R
0.74334188102417,0.7,4,dm3_R
0.723947612739617,0.7,5,dldm_R
0.524115698849002,0.7,6,dm1_R
0.163544152994076,0.4,1,dm4_R
0.160949145506165,0.4,2,dm4m_R
0.065519045062073,0.4,3,dm2_R
0.072960100653792,0.4,4,dm3_R
0.004041611658472,0.4,5,dldm_R
0.031259024063767,0.4,6,dm1_R
0.08796941497833,0,1,dm4_R
0.116324046083642,0,2,dm4m_R
0.14991580990278,0,3,dm2_R
0.157143865183595,0,4,dm3_R
0.093594174613997,0,5,dldm_R
0.17931624927733,0,6,dm1_R
0.025485304383418,0.8,1,dm4_R
0.130598298994557,0.8,2,dm4m_R
0.044722899033024,0.8,3,dm2_R
-0.025385330185356,0.8,4,dm3_R
-0.081896391845828,0.8,5,dldm_R
-0.033958564555115,0.8,6,dm1_R
-0.014860160808876,0.7,1,dm4_R
0.036593150152173,0.7,2,dm4m_R
0.024880811079214,0.7,3,dm2_R
-0.016542357989567,0.7,4,dm3_R
-0.083149905030161,0.7,5,dldm_R
0.008790354441517,0.7,6,dm1_R
0.234107407396533,0.4,1,dm4_R
0.226625961552359,0.4,2,dm4m_R
0.124166871690577,0.4,3,dm2_R
0.117922133379743,0.4,4,dm3_R
0.009486728135263,0.4,5,dldm_R
0.011111832907124,0.4,6,dm1_R
0.631596816740761,0.7,1,dm4_R
0.609266933931764,0.7,2,dm4m_R
0.706125891518296,0.7,3,dm2_R
0.783441282457398,0.7,4,dm3_R
0.736314180654088,0.7,5,dldm_R
0.523092318847263,0.7,6,dm1_R
0.09497263010098,0,1,dm4_R
0.115051627653268,0,2,dm4m_R
0.131831110024587,0,3,dm2_R
0.132533132016066,0,4,dm3_R
0.111593417791151,0,5,dldm_R
0.126278363540506,0,6,dm1_R
0.563372348577305,0.8,1,dm4_R
0.522046128904771,0.8,2,dm4m_R
0.633438607910844,0.8,3,dm2_R
0.778825827310787,0.8,4,dm3_R
0.71952783591892,0.8,5,dldm_R
0.47270232907649,0.8,6,dm1_R
0.364889349930925,0.8,1,dm4_R
0.381626946411535,0.8,2,dm4m_R
0.282118983656772,0.8,3,dm2_R
0.232143839515761,0.8,4,dm3_R
0.120953212049864,0.8,5,dldm_R
0.177312391668433,0.8,6,dm1_R
0.530214424632339,0.4,1,dm4_R
0.495340529509722,0.4,2,dm4m_R
0.598066790357608,0.4,3,dm2_R
0.74000624133349,0.4,4,dm3_R
0.731733331972338,0.4,5,dldm_R
0.483550816491431,0.4,6,dm1_R
0.098328391313728,0.7,1,dm4_R
0.136813500770769,0.7,2,dm4m_R
0.096760149931014,0.7,3,dm2_R
0.073344644546835,0.7,4,dm3_R
0.048814707393235,0.7,5,dldm_R
0.094866237025321,0.7,6,dm1_R
0.029573454660344,0,1,dm4_R
0.034422570080102,0,2,dm4m_R
0.086460136768731,0,3,dm2_R
0.086312398099833,0,4,dm3_R
0.054988068990624,0,5,dldm_R
0.104733977328266,0,6,dm1_R
0.557491344663127,0.8,1,dm4_R
0.575132292944187,0.8,2,dm4m_R
0.666124709341658,0.8,3,dm2_R
0.736194669518377,0.8,4,dm3_R
0.722614077447053,0.8,5,dldm_R
0.55652112245401,0.8,6,dm1_R
0.307995353493976,0.4,1,dm4_R
0.356499518113559,0.4,2,dm4m_R
0.222857326581724,0.4,3,dm2_R
0.225086896354828,0.4,4,dm3_R
0.152454148417293,0.4,5,dldm_R
0.115790933201806,0.4,6,dm1_R
0.61414800620278,0.7,1,dm4_R
0.642096251888607,0.7,2,dm4m_R
0.687128220957324,0.7,3,dm2_R
0.736318716716225,0.7,4,dm3_R
0.746269740351032,0.7,5,dldm_R
