data_long1,data_long2,data_long3,data_long4
0.0119748610534923,0.7,1,dm4_R
0.0107139304069419,0.7,2,dm4m_R
0.0131752551365495,0.7,3,dm2_R
0.0150221907951776,0.7,4,dm3_R
0.0132802769843693,0.7,5,dldm_R
0.0104165713277072,0.7,6,dm1_R
0.00118571582013474,0,1,dm4_R
0.000775785259394062,0,2,dm4m_R
0.000485399495286438,0,3,dm2_R
0.000645581240162302,0,4,dm3_R
0.000599115679220296,0,5,dldm_R
0.00116105111768735,0,6,dm1_R
0.00204871783890761,0.4,1,dm4_R
0.00149486240982584,0.4,2,dm4m_R
0.00170945678543445,0.4,3,dm2_R
0.000741141044150397,0.4,4,dm3_R
0.00175675744845457,0.4,5,dldm_R
0.000677030242518995,0.4,6,dm1_R
0.00929335961548325,0.8,1,dm4_R
0.0108354482518769,0.8,2,dm4m_R
0.0118023973400903,0.8,3,dm2_R
0.0138023225584925,0.8,4,dm3_R
0.0136729032293273,0.8,5,dldm_R
0.00954203153026666,0.8,6,dm1_R
0.0057820100328463,0.8,1,dm4_R
0.00647232282308107,0.8,2,dm4m_R
0.00404619011253917,0.8,3,dm2_R
0.00194404045091211,0.8,4,dm3_R
0.00119893793600673,0.8,5,dldm_R
0.00144427873598072,0.8,6,dm1_R
0.00454171610838478,0.4,1,dm4_R
0.00650094084979042,0.4,2,dm4m_R
0.00234341801046432,0.4,3,dm2_R
0.00132466425633542,0.4,4,dm3_R
0.0015936002875246,0.4,5,dldm_R
0.00126785471163118,0.4,6,dm1_R
0.000187767609050202,0,1,dm4_R
0.00123763522632535,0,2,dm4m_R
0.000506912230960196,0,3,dm2_R
0.000181832601373886,0,4,dm3_R
0.000299926879932079,0,5,dldm_R
0.000157431217310213,0,6,dm1_R
0.0091241684023164,0.7,1,dm4_R
0.00941366176084476,0.7,2,dm4m_R
0.00980565864417007,0.7,3,dm2_R
0.0120573443476237,0.7,4,dm3_R
0.0121532448920813,0.7,5,dldm_R
0.00857624938323854,0.7,6,dm1_R
0.00164031920279565,0.4,1,dm4_R
0.00288410614372117,0.4,2,dm4m_R
0.000710076717937093,0.4,3,dm2_R
0.00148134186019955,0.4,4,dm3_R
0.0001015223645738,0.4,5,dldm_R
0.000194811096680746,0.4,6,dm1_R
0.000527854349671181,0,1,dm4_R
0.000704727387725824,0,2,dm4m_R
0.000812473722130489,0,3,dm2_R
0.000971253388273309,0,4,dm3_R
0.000545170242845495,0,5,dldm_R
0.0010127439399945,0,6,dm1_R
0.000737274571819249,0.8,1,dm4_R
0.00162518531368661,0.8,2,dm4m_R
0.000483020001923475,0.8,3,dm2_R
0.000107451086645725,0.8,4,dm3_R
-0.00232638400590417,0.8,5,dldm_R
-0.00141531007372296,0.8,6,dm1_R
0.000113414469889457,0.7,1,dm4_R
0.000373160042222479,0.7,2,dm4m_R
0.000392225565403322,0.7,3,dm2_R
0.000237144029270861,0.7,4,dm3_R
-0.00238819648609271,0.7,5,dldm_R
0.000126548442376031,0.7,6,dm1_R
0.00182048906402927,0.4,1,dm4_R
0.00578886122791802,0.4,2,dm4m_R
0.002925653039977,0.4,3,dm2_R
0.000926228744169101,0.4,4,dm3_R
0.000300700592760831,0.4,5,dldm_R
0.000201345509817822,0.4,6,dm1_R
0.0131016323547081,0.7,1,dm4_R
0.0130591897151093,0.7,2,dm4m_R
0.0152858816849112,0.7,3,dm2_R
0.0174126908038108,0.7,4,dm3_R
0.0170618860121907,0.7,5,dldm_R
0.0121801035476775,0.7,6,dm1_R
0.00100064544934908,0,1,dm4_R
0.00130853235113998,0,2,dm4m_R
0.000879654655794491,0,3,dm2_R
0.00072627554633015,0,4,dm3_R
0.000762259714735477,0,5,dldm_R
0.000879579038301153,0,6,dm1_R
0.0085897909021928,0.8,1,dm4_R
0.00791397417346938,0.8,2,dm4m_R
0.00998339453018463,0.8,3,dm2_R
0.0127966836083254,0.8,4,dm3_R
0.0120141360709941,0.8,5,dldm_R
0.00782599510973951,0.8,6,dm1_R
0.00482280981676865,0.8,1,dm4_R
0.00562489625769621,0.8,2,dm4m_R
0.00401039011930002,0.8,3,dm2_R
0.0035459204405855,0.8,4,dm3_R
0.00271754275249474,0.8,5,dldm_R
0.00186368082998379,0.8,6,dm1_R
0.00572941455816662,0.4,1,dm4_R
0.005333870693933,0.4,2,dm4m_R
0.00642483689388489,0.4,3,dm2_R
0.00796894776371213,0.4,4,dm3_R
0.00774519030183174,0.4,5,dldm_R
0.0050412214652326,0.4,6,dm1_R
0.00144562080258481,0.7,1,dm4_R
0.00182386397895591,0.7,2,dm4m_R
0.00186223838757157,0.7,3,dm2_R
0.000836658998584202,0.7,4,dm3_R
0.000793673320059771,0.7,5,dldm_R
0.00145057574982611,0.7,6,dm1_R
4.49337726213099e-05,0,1,dm4_R
0.000424424594407695,0,2,dm4m_R
0.000805682028214255,0,3,dm2_R
0.000482655013177998,0,4,dm3_R
0.00038695343233167,0,5,dldm_R
0.000553570055477161,0,6,dm1_R
0.00807035369101721,0.8,1,dm4_R
0.00808130351113722,0.8,2,dm4m_R
0.00898787512814177,0.8,3,dm2_R
0.010377529032741,0.8,4,dm3_R
0.0105932911284295,0.8,5,dldm_R
0.007292627270715,0.8,6,dm1_R
0.00273507864363654,0.4,1,dm4_R
