data_long1,data_long2,data_long3,data_long4
0.0937710651636174,0.7,1,dm4_R
0.12848067716434,0.7,2,dm4m_R
0.0739068676915119,0.7,3,dm2_R
0.0555426453384994,0.7,4,dm3_R
0.0153860031060535,0.7,5,dldm_R
0.00536520997878738,0.7,6,dm1_R
-0.0145646123766233,0,1,dm4_R
-0.021003288664617,0,2,dm4m_R
-0.0264649575811552,0,3,dm2_R
-0.0216867378807677,0,4,dm3_R
-0.0130809638210822,0,5,dldm_R
-0.0150050135144424,0,6,dm1_R
0.0277917688762813,0.4,1,dm4_R
0.0609489558983471,0.4,2,dm4m_R
0.0280222300224508,0.4,3,dm2_R
0.0115977168904762,0.4,4,dm3_R
0.0134383147773972,0.4,5,dldm_R
-0.0207817311841465,0.4,6,dm1_R
0.144986577398188,0.8,1,dm4_R
0.182240709876593,0.8,2,dm4m_R
0.0690211688101593,0.8,3,dm2_R
0.0823057978309883,0.8,4,dm3_R
0.0479609870151031,0.8,5,dldm_R
0.0310303344464181,0.8,6,dm1_R
0.116271624088576,0.8,1,dm4_R
0.168953123684466,0.8,2,dm4m_R
0.0874276041730966,0.8,3,dm2_R
0.0364408559391716,0.8,4,dm3_R
0.0213255208622389,0.8,5,dldm_R
0.0442269907512126,0.8,6,dm1_R
0.0849655332963074,0.4,1,dm4_R
0.139058387505218,0.4,2,dm4m_R
0.0697013483834073,0.4,3,dm2_R
0.0173747491180145,0.4,4,dm3_R
0.0236996534950436,0.4,5,dldm_R
0.012920506292127,0.4,6,dm1_R
0.00803200810080996,0,1,dm4_R
-0.0217872572620885,0,2,dm4m_R
-0.00855472819969666,0,3,dm2_R
-0.000788789278195035,0,4,dm3_R
-0.00566969369870088,0,5,dldm_R
-0.0160523925848382,0,6,dm1_R
0.103113065599792,0.7,1,dm4_R
0.15132656545111,0.7,2,dm4m_R
0.0470051508169233,0.7,3,dm2_R
0.0450370860083944,0.7,4,dm3_R
0.026918112571882,0.7,5,dldm_R
0.0204979628578781,0.7,6,dm1_R
0.0292155988537947,0.4,1,dm4_R
0.0674427176933551,0.4,2,dm4m_R
0.0178738937216939,0.4,3,dm2_R
0.0332371340029739,0.4,4,dm3_R
-0.0127438866434502,0.4,5,dldm_R
0.00419574634091549,0.4,6,dm1_R
0.00952306324160541,0,1,dm4_R
0.0119340956972099,0,2,dm4m_R
0.040045645628297,0,3,dm2_R
0.0333395927364163,0,4,dm3_R
0.0171571755671218,0,5,dldm_R
0.033931529530613,0,6,dm1_R
